Number of threads;Ticks;Result
1;20.301;"1.913,86"
2;4.651;"1.913,86"
3;6.216;"1.913,86"
4;5.587;"1.913,86"
5;5.156;"1.913,86"
6;4.018;"1.913,86"
7;4.383;"1.913,86"
8;5.240;"1.913,86"
9;5.283;"1.913,86"
10;5.665;"1.913,86"
11;6.265;"1.913,86"
12;6.803;"1.913,86"
13;7.387;"1.913,86"
14;7.862;"1.913,86"
15;8.351;"1.913,86"
16;8.828;"1.913,86"
17;9.212;"1.913,86"
18;9.745;"1.913,86"
19;10.411;"1.913,86"
20;10.575;"1.913,86"
21;11.230;"1.913,86"
22;11.639;"1.913,86"
23;12.224;"1.913,86"
24;12.622;"1.913,86"
25;13.553;"1.913,86"
26;15.120;"1.913,86"
27;15.864;"1.913,86"
28;15.530;"1.913,86"
29;16.680;"1.913,86"
30;15.714;"1.913,86"
31;16.910;"1.913,86"
32;16.594;"1.913,86"
33;17.170;"1.913,86"
34;17.635;"1.913,86"
35;18.670;"1.913,86"
36;20.967;"1.913,86"
37;20.408;"1.913,86"
38;20.431;"1.913,86"
39;22.377;"1.913,86"
40;22.724;"1.913,86"
41;22.685;"1.913,86"
42;24.382;"1.913,86"
43;26.208;"1.913,86"
44;29.037;"1.913,86"
45;31.155;"1.913,86"
46;29.253;"1.913,86"
47;31.865;"1.913,86"
48;30.816;"1.913,86"
49;36.819;"1.913,86"
50;32.546;"1.913,86"
